Name	AppID	Genre	Tags	Votes_total	Positive_rating	Played_time	Time_to_finish	Time_to_complete	100% Completed	Developer	Publisher
DreamWorks Dragons: Dawn of New Riders	896960	Adventure	Adventure, Dragons, Action, Puzzle	124	84.6774193548387	NA	6	8	NA	Climax Studios Ltd.	Outright Games Ltd.
Drift Horizon Online	491280	Action, Racing, Simulation, Sports	Racing, Simulation, Sports, Action, Multiplayer, Driving, Open World, Singleplayer, Arcade, Automobile Sim, Combat Racing, First-Person, Realistic, PvP, Physics, Local Multiplayer, Online Co-Op, Indie, Competitive, Free to Play	723	53.3886583679115	NA	Sin registro de tiempo	Sin registro de tiempo	NA	JDM4iK Games	SA Industry
Driftland: The Magic Revival	718650	Indie, RPG, Simulation, Strategy	Strategy, Simulation, City Builder, God Game, RTS, Indie, 4X, Management, Magic, Resource Management, Fantasy, Grand Strategy, RPG, Base-Building, Singleplayer, Multiplayer, Survival, War, Co-op, Time Management	1610	74.0372670807453	NA	24	44	NA	Star Drifters	Star Drifters
Driftmoon	263380	Adventure, Indie, RPG	RPG, Adventure, Indie, Fantasy, Top-Down, Singleplayer	253	88.9328063241107	NA	9	12	NA	Ville Mönkkönen, Anne Mönkkönen	Instant Kingdom
Drift Streets Japan	412880	Action, Indie, Massively Multiplayer, Racing, Simulation, Sports	Racing, Automobile Sim, Simulation, Driving, Multiplayer, Sports, Massively Multiplayer, Indie, Action, Arcade, Open World	3440	64.2732558139535	NA	1	0	NA	JDM4iK Games	SA Industry
Droplitz	23120		NA	0	NA	NA	6	11	NA		
Dropshipping Simulator	1573700	Casual, Indie, Simulation	Casual, Simulation, Idler, Immersive Sim, 3D, Indie, First-Person, Colorful, Funny, Early Access, Management, Resource Management, Singleplayer, Life Sim, Pixel Graphics, Time Management, Economy, Logic, Choices Matter	91	64.8351648351648	NA	NA	NA	NA	IronyDev	IronyDev
Ducati World Championship	6270	Racing	Racing, Motorbike, Simulation, Singleplayer, Bikes	192	44.7916666666667	NA	0	19	NA	Artematica Entertainment	Strategy First
Duke Nukem 2	240180	Action	Action, Platformer, Classic, 2D, Retro, Singleplayer, Shooter	82	86.5853658536585	NA	5	7	NA	3D Realms, Interceptor Entertainment	3D Realms (Apogee Software)
Duke Nukem 3D	359850	Action	Action, Classic, FPS, Shooter	24	87.5	NA	9	13	NA	3D Realms	3D Realms (Apogee Software)
Duke Nukem Forever	57900	Action	FPS, Action, Nudity, Shooter, Aliens, Singleplayer, Comedy, Multiplayer, Sci-fi, First-Person, Mature, Funny, Gore, Dark Humor, Classic, Adventure, Memes, Old School, Linear, Atmospheric	9448	68.067315834039	NA	9	21	NA	Gearbox Software	2K
Dungeon Dashers	252210	Action, Adventure, Early Access, Indie, RPG, Strategy	Early Access, RPG, Strategy, Indie, Action, Adventure, Turn-Based, Rogue-like, Dungeon Crawler	155	45.1612903225806	NA	0	2	NA	Jigxor	Jigxor
Dungeon Fighter Online	495910	Action, Adventure, Free to Play, Massively Multiplayer, RPG	Free to Play, Anime, Massively Multiplayer, RPG, Action, Beat 'em up, 2D, Side Scroller, Hack and Slash, Adventure, MMORPG, 2D Fighter, Fighting, Action RPG, Online Co-Op, Dungeon Crawler, Open World, Nudity, Great Soundtrack, Singleplayer	4914	62.5966625966626	NA	12	0	NA	Neople	Neople
Dungeon Lurk II - Leona	322580	Adventure, Casual, Indie	Adventure, Indie, Casual, Female Protagonist	37	29.7297297297297	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Keys of Nine Entertainment	Keys of Nine Entertainment
Dungeons Again	1115840	Adventure, Indie	Indie, Adventure, Platformer, 2D, Rogue-lite, RPG, Rogue-like	20	80	NA	NA	NA	NA	Team Lambda	Team Lambda
Dungeon Siege III	39160	Action, RPG	RPG, Action, Fantasy, Co-op, Action RPG, Dungeon Crawler, Local Co-Op, Singleplayer, Female Protagonist, Adventure, Loot	2606	57.9815809669992	NA	15	28	NA	Obsidian Entertainment	Square Enix
Dungeon Souls	383230	Action, Adventure, Indie, RPG	RPG, Action Roguelike, Pixel Graphics, Dungeon Crawler, Indie, Action, Rogue-like, Rogue-lite, Adventure, Hack and Slash, 2D, Procedural Generation, Singleplayer, Perma Death, Bullet Hell, Top-Down, Multiplayer, Local Co-Op, Loot, Souls-like	2206	74.3427017225748	NA	12	35	NA	Lamina Studios	Lamina Studios
Dwarfs!?	35480	Strategy, Indie, Casual	Strategy, Indie, Casual, 2D, Tower Defense, Fantasy, Singleplayer, Arcade, Mining	976	75.7172131147541	NA	4	17	NA	Power of 2	Tripwire Interactive
Dying Light: Bad Blood	766370	Action, RPG, Early Access	Action, RPG, Zombies, Battle Royale, Multiplayer, Gore, Parkour, Survival, Violent, Early Access, PvP, Fast-Paced, Crafting, FPS, Open World, Co-op, First-Person, Horror, Shooter, Survival Horror	3619	69.825918762089	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Techland	Techland Publishing
Dystopian Drift	1156850	Action, Indie, Racing	Action, Indie, Racing, Top-Down, Zombies, Survival, Great Soundtrack, Cyberpunk, Dystopian 	1	100	NA	7	0	NA	GO&amp;O Studio	GO&amp;O Studio
East India Company Gold	254000		NA	0	NA	NA	Sin registro de tiempo	Sin registro de tiempo	NA		
Edengrad	381180	Massively Multiplayer, RPG, Early Access	Massively Multiplayer, RPG, Early Access, Survival, Post-apocalyptic, Open World Survival Craft, Open World, Crafting, Sandbox	483	49.2753623188406	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Huckleberry Games S.A.	Huckleberry Games S.A.
eFootball PES 2021 SEASON UPDATE	1259970	Sports	Football (Soccer), Sports, Multiplayer, e-sports, Realistic, Football (American), Local Multiplayer, Co-op, Singleplayer, Local Co-Op, Online Co-Op, Psychological Horror, Controller, Free to Play, Simulation, Team-Based, Horror, Casual	36497	76.0829657232101	NA	22	121	NA	Konami Digital Entertainment	Konami Digital Entertainment
eFootball™ 2023	1665460		NA	0	NA	NA	NA	NA	NA		
Electronic Super Joy: Groove City	301460	Action, Indie	Indie, Platformer, Action, Great Soundtrack, Difficult, Pixel Graphics, 2D	564	80.4964539007092	NA	1	2	NA	Michael Todd Games, Yazar Media Group LLC	Yazar Media Group LLC
ELEX	411300	Action, Adventure, RPG	RPG, Open World, Singleplayer, Post-apocalyptic, Sci-fi, Fantasy, Adventure, Action, Third Person, Gothic, Story Rich, Atmospheric, Choices Matter, Difficult, War, Futuristic, Violent, Base-Building, Dark Fantasy, Third-Person Shooter	17584	74.4313011828935	NA	27	86	NA	Piranha Bytes	THQ Nordic
Elizabeth Find M.D. - Diagnosis Mystery - Season 2	33790	Casual	Casual, Hidden Object	33	51.5151515151515	NA	3	0	NA	Gunnar Games, Inc.	Ziggurat
EllrLand	1265390	Adventure, Strategy	Strategy, Adventure, Deckbuilding, Card Battler, Indie, Turn-Based, Difficult, Magic, Singleplayer, Medieval, RPG, Rogue-like	64	59.375	NA	NA	NA	NA	Sichuan fruit Interactive Technology Co., Ltd	Sichuan fruit Interactive Technology Co., Ltd
Elly The Jelly	681670	Action, Indie, Early Access	Action, Indie, Early Access	5	20	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Seize Studios	Seize Studios
Else Heart.Break()	400110	Adventure, Indie, RPG	Programming, Adventure, Indie, RPG, Hacking, Singleplayer, Atmospheric, Surreal, Cyberpunk, Great Soundtrack, Point & Click, Conspiracy, Open World, Isometric	725	67.1724137931034	NA	14	64	NA	Erik Svedäng, El Huervo / Niklas Åkerblad, Tobias Sjögren, Oscar \Ratvader\ Rydelius, Johannes Gotlén	Erik Svedäng AB
Endciv	444650	Indie, Simulation, Strategy, Early Access	Simulation, Indie, Strategy, Early Access, Post-apocalyptic	70	35.7142857142857	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Crowbox	Crowbox
Endless Jade Sea -Midori no Umi-	925470	Adventure, Indie, RPG	Sexual Content, Nudity, Visual Novel, Anime, Indie, Adventure, RPG	349	83.0945558739255	NA	0	20	NA	Cabbit	SakuraGame
English Country Tune	207570	Indie, Casual	Puzzle, Indie, Casual, Abstract, Difficult, Singleplayer, 3D, Sokoban	394	80.9644670050761	NA	10	15	NA	increpare games	increpare games
ENSLAVED™: Odyssey to the West™ Premium Edition	245280	Action, Adventure	Adventure, Action, Post-apocalyptic, Story Rich, Singleplayer, Hack and Slash, Third Person, Action-Adventure, Sci-fi, Atmospheric, Robots, Platformer, Parkour, Great Soundtrack, 3D Platformer, Female Protagonist, Linear, Controller, 3D Vision, Open World	6453	85.4331318766465	NA	9	19	NA	Ninja Theory	BANDAI NAMCO Entertainment
Entre-Deux	839750	Casual, Indie, Simulation	Indie, Casual, Simulation, Zombies, Singleplayer, Short, Female Protagonist, Interactive Fiction, Text-Based, Multiple Endings, Story Rich	3	100	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Mia Blais-Côté	Mia Blais-Côté
Epic Car Factory	656510	Simulation	Simulation, Economy, Strategy, Management, Pixel Graphics, Resource Management	204	62.2549019607843	NA	5	11	NA	Epic Devs LLC	Assemble Entertainment
Escape from Monkey Island™	730830	Adventure	Adventure, Classic, Point & Click, Comedy, Singleplayer, Pirates, Puzzle, Funny, Story Rich, Great Soundtrack, Cult Classic, Retro, 1990's, Old School	487	57.9055441478439	NA	10	12	NA	LucasArts	Lucasfilm, Disney
Eschalon: Book 1	25600	Indie, RPG	RPG, Indie, Isometric, Turn-Based, Fantasy, 2D, Singleplayer, Old School, CRPG, Free to Play, Exploration, Turn-Based Combat, Open World	311	85.8520900321543	NA	19	31	NA	Basilisk Games	Basilisk Games
Eschalon: Book 2	25620	Indie, RPG	RPG, Indie, Isometric, Turn-Based, Fantasy, 2D, CRPG	111	85.5855855855856	NA	19	56	NA	Basilisk Games	Basilisk Games
Eterium	280200	Action, Indie	Action, Indie, Space, Space Sim, Simulation, Sci-fi, Anime	92	48.9130434782609	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Rogue Earth LLC	Rogue Earth LLC
Euclidean Skies	983980	Adventure, Indie, Strategy	Indie, Adventure, Strategy, Puzzle, Atmospheric, Casual, Beautiful, Surreal, Procedural Generation, Mouse only, Tactical RPG	50	70	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Miro Straka	Miro Straka
Europa Universalis IV	236850	Simulation, Strategy	Grand Strategy, Historical, Simulation, Alternate History, Economy, Military, Strategy, Sandbox, Political, Diplomacy, Real-Time with Pause, Moddable, Replay Value, Nonlinear, Singleplayer, Management, Multiplayer, Resource Management, Education, Great Soundtrack	113149	86.8350581975979	NA	94	1619	NA	Paradox Development Studio, Paradox Tinto	Paradox Interactive
Euro Truck Simulator	232010	Indie, Simulation	Simulation, Automobile Sim, Driving, Open World, Singleplayer, Multiplayer, Realistic, First-Person, Indie, Relaxing, TrackIR, Moddable, Adventure, Third Person, Atmospheric, Management, Exploration, Sandbox, Action, Online Co-Op	6631	82.5516513346403	NA	21	94	NA	SCS Software	SCS Software
Everhood	1229380	Action, Adventure, Indie, RPG	Great Soundtrack, Music, Story Rich, Singleplayer, 2D, Bullet Hell, Psychedelic, RPG, Pixel Graphics, Surreal, Rhythm, 2.5D, Action-Adventure, Colorful, Multiple Endings, Action, Indie, Level Editor, Adventure, Epic	9646	95.6043956043956	NA	6	22	NA	Chris Nordgren, Jordi Roca	Foreign Gnomes, Surefire.Games
Evil Shogun	1505830		Historical, Adventure, Interactive Fiction, Text-Based, Hand-drawn, Visual Novel, Choose Your Own Adventure, Clicker, Anime, Cartoon, Cartoony, Colorful, Alternate History, Drama, Ninja, Choices Matter, Narration, Story Rich, Singleplayer, Female Protagonist	2	0	NA	NA	NA	NA	A. A. Bills, Rino Ito	Flat 47 Productions
Evoland	233470	Adventure, Indie, RPG	RPG, Indie, Adventure, Retro, Singleplayer, Short, Parody , Fantasy, Funny, JRPG, Puzzle, Pixel Graphics, 2D, Action, Comedy, Casual, Controller, 3D, Action RPG, Great Soundtrack	5744	82.7472144846797	NA	3	6	NA	Shiro Games	Shiro Unlimited
Evoland Legendary Edition	1020470	Action, Adventure, Casual, Indie, RPG	RPG, Adventure, Action, Indie, Casual, Singleplayer, Retro, Pixel Graphics, Action RPG, 2D, Action-Adventure, Exploration, Fantasy, Great Soundtrack, 3D	1897	81.9188191881919	NA	20	31	NA	Shiro Games	Shiro Unlimited
eXceed - Gun Bullet Children	207370	Action, Indie	Bullet Hell, Anime, Shoot 'Em Up, Action, Indie, 2D, Shooter, Arcade, Female Protagonist	481	46.5696465696466	NA	1	0	NA	Flat Software	Nyu Media
eXceed 2nd - Vampire REX	207380	Action	Bullet Hell, Anime, Shoot 'Em Up, Action, Female Protagonist, Indie, Great Soundtrack, Cute, Arcade, 2D, Shooter	262	85.1145038167939	NA	3	3	NA	Tennen-sozai	Nyu Media
eXceed 3rd - Jade Penetrate Black Package	207400	Action	Bullet Hell, Anime, Shoot 'Em Up, Action, Great Soundtrack, Arcade, Indie, Female Protagonist, Singleplayer, 2D, Cute, Shooter, Difficult	628	92.6751592356688	NA	2	9	NA	Tennen-sozai	Nyu Media
Exertus	1105620	Action, Casual, Indie	Action, Precision Platformer, FPS, Parkour, 3D Platformer, Tutorial, Casual, Difficult, First-Person, Platformer, 3D, Relaxing, Minimalist, Colorful, Abstract, Family Friendly, Atmospheric, Physics, Adventure, Beautiful	248	87.0967741935484	NA	0	2	NA	Loneminded	Loneminded
Exit Strategy	1513270	Adventure, Casual, Indie, Strategy, Early Access	Early Access, Time Management, Investigation, Hidden Object, Hunting, PvE, Experimental, 3D, First-Person, Detective, Dinosaurs, Puzzle, Cartoony, Logic, Mystery, Adventure, Physics, Supernatural, Co-op, Multiplayer	6	66.6666666666667	NA	NA	NA	NA	Rotospace Studios Inc.	Rotospace Studios Inc.
Explodemon	281820	Action, Adventure, Casual, Indie	Action, Platformer, Indie, Casual, Adventure, Singleplayer, 2D, Retro	102	65.6862745098039	NA	5	23	NA	Curve Studios	Curve Digital
Extreme Roads USA	273740	Simulation	Simulation	67	10.4477611940298	NA	1	0	NA	United Independent Entertainment	United Independent Entertainment
F-1 drive	369620	Racing, Sports	Racing, Sports	18	77.7777777777778	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Dima Kiva	Dima Kiva
F.E.A.R.	21090	Action	Horror, FPS, Action, Bullet Time, Classic, Singleplayer, Shooter, Atmospheric, Gore, First-Person, Psychological Horror, Dark, Story Rich, Sci-fi, Jump Scare, Great Soundtrack, Survival Horror, Thriller, Old School, Adventure	12306	93.9785470502194	NA	8	12	NA	Monolith Productions, Inc., Timegate	Warner Bros. Games, Warner Bros. Interactive Entertainment
F.E.A.R. 2: Project Origin	16450	Action	Horror, FPS, Action, Singleplayer, Shooter, Gore, Multiplayer, Psychological Horror, First-Person, Bullet Time, Atmospheric, Co-op, Jump Scare, Sci-fi, Classic, Story Rich, Sequel, Survival Horror, Mechs, Nudity	6584	86.1482381530984	NA	7	11	NA	Monolith	Warner Bros. Games, Warner Bros. Interactive Entertainment
F.E.A.R. 3	21100	Action	FPS, Horror, Co-op, Action, Multiplayer, Shooter, Singleplayer, Gore, First-Person, Online Co-Op, Bullet Time, Sci-fi, Adventure, Zombies, Atmospheric, Story Rich, Co-op Campaign, Mechs, Controller, Short	10776	71.9005196733482	NA	6	15	NA	Day 1 Studios	Warner Bros. Interactive Entertainment
F.E.A.R.: Extraction Point	21110	Action	NA	0	NA	NA	5	6	NA	Monolith Productions, Inc., Timegate	Warner Bros. Games, Warner Bros. Interactive Entertainment
F.E.A.R.: Perseus Mandate	21120	Action	NA	0	NA	NA	5	7	NA	Monolith Productions, Inc., Timegate	Warner Bros. Games, Warner Bros. Interactive Entertainment
Fable - The Lost Chapters	204030	Action, Adventure, RPG	RPG, Adventure, Action, Fantasy, Third Person, Singleplayer, Choices Matter, Classic, Atmospheric, Open World, Magic, Story Rich, Great Soundtrack, Action RPG, Comedy, Character Customization, Exploration, Medieval, Dark Fantasy, Replay Value	7039	92.3142491831226	NA	15	38	NA	Lionhead Studios	Xbox Game Studios
Fadeout: Underground	1306570	Action, Free to Play, Indie	Free to Play, Third-Person Shooter, Multiplayer, Shooter, Arena Shooter, Indie, Cartoony, Character Action Game, Casual, 3D, World War I, Stylized, Third Person, Competitive, Early Access, Fantasy, Action, PvP, Modern, Character Customization	184	84.7826086956522	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Weston Mitchell	Weston Mitchell
Faerie Solitaire Remastered	583930	Casual	Card Game, Board Game, Puzzle, Fantasy, Indie, Relaxing, Mouse only, Replay Value, Turn-Based, Casual, Solitaire, Beautiful, RPG, Family Friendly, Singleplayer, Medieval, Touch-Friendly, Colorful, Cinematic, Hand-drawn	495	87.4747474747475	NA	11	30	NA	Subsoap	Subsoap
Falcon	374080	Simulation	Simulation, Retro, Flight	15	73.3333333333333	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Spectrum Holobyte	Retroism
Falcon A.T.	286790	Simulation	Simulation, Flight, Classic	10	40	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Spectrum Holobyte	Retroism
Fallen Enchantress	216390	Indie, RPG, Strategy	Strategy, RPG, Turn-Based, Fantasy, 4X, Indie, Singleplayer, Turn-Based Strategy, Grid-Based Movement, Tactical	267	64.4194756554307	NA	20	0	NA	Stardock Entertainment	Stardock Entertainment
Fallen Mage (Restocked)	752360	Action, Indie, RPG	Action, Indie, RPG	5	80	NA	Sin registro de tiempo	Sin registro de tiempo	NA	dev4play	dev4ent
Fallout	38400	RPG	RPG, Post-apocalyptic, Classic, Open World, Isometric, Turn-Based, Turn-Based Combat, Singleplayer, Sci-fi, Atmospheric, Multiple Endings, Retro, 1990's, CRPG, Adventure, Exploration, 2D, Difficult, Tactical, Sandbox	15718	93.6124188828095	NA	16	33	NA	Interplay Inc.	Bethesda Softworks
Fallout 2	38410	RPG	RPG, Post-apocalyptic, Classic, Isometric, Open World, Turn-Based Combat, Turn-Based, Singleplayer, Atmospheric, Sci-fi, Story Rich, Retro, Great Soundtrack, Exploration, Dark Humor, Replay Value, CRPG, Adventure, Sandbox, 2D	11374	94.2588359416212	NA	30	84	NA	Black Isle Studios	Bethesda Softworks
Fallout 3	22300	RPG	Open World, Post-apocalyptic, RPG, Singleplayer, Exploration, First-Person, Sci-fi, Adventure, Moddable, Action, Atmospheric, FPS, Shooter, Character Customization, Third Person, Story Rich, Sandbox, Action RPG, Horror, Female Protagonist	17933	79.4791724753248	NA	22	116	NA	Bethesda Game Studios	Bethesda Softworks
Fallout: New Vegas	22380	Action, RPG	Open World, RPG, Post-apocalyptic, Singleplayer, Moddable, Exploration, Story Rich, First-Person, Action, Adventure, Sci-fi, FPS, Western, Atmospheric, Action RPG, Survival, Character Customization, Sandbox, Shooter, Third Person	172052	96.4487480529142	NA	27	131	NA	Obsidian Entertainment	Bethesda Softworks
Fallout Tactics	38420	Strategy	Post-apocalyptic, RPG, Strategy, Turn-Based, Tactical, Isometric, Classic, Singleplayer, Sci-fi, Turn-Based Strategy, Tactical RPG, Open World, Real-Time with Pause, Action, Atmospheric, Turn-Based Tactics, Multiplayer, Story Rich, CRPG, Adventure	2016	79.3154761904762	NA	25	48	NA	14° East	Bethesda Softworks
Family Guy™: Back to the Multiverse	214230		NA	0	NA	NA	6	15	NA		
Fantasy Blacksmith	959520	Indie, Simulation	Simulation, Indie, Medieval, Magic, Replay Value, Resource Management, Crafting, Management, RPG, Atmospheric, 3D, Puzzle, Mystery, Inventory Management, Great Soundtrack, Dark, Early Access, Singleplayer	1522	49.3429697766097	NA	0	52	NA	Heaven Brotherhood	GrabTheGames
Far Cry	13520	Action	FPS, Action, Classic, Shooter, Open World, Singleplayer, First-Person, Difficult, Stealth, Multiplayer, Adventure, Atmospheric, Story Rich, Sci-fi, Horror, Sandbox, Great Soundtrack, Co-op, Survival, Zombies	7342	82.4979569599564	NA	13	19	NA	Crytek Studios	Ubisoft
Far Cry 2	19900	Action	Open World, FPS, Action, Shooter, Singleplayer, First-Person, Multiplayer, Adventure, Sandbox, Realistic, Atmospheric, Stealth, Survival, Exploration, Level Editor, Story Rich, Immersive Sim, Controller, Great Soundtrack, Co-op	13219	77.4415613889099	NA	17	42	NA	Ubisoft Montreal	Ubisoft
Far Cry® 3	220240	Action, Adventure	Open World, FPS, Action, Adventure, Multiplayer, Shooter, Stealth, Co-op, First-Person, Hunting, Singleplayer, Sandbox, Survival, Story Rich, Online Co-Op, Atmospheric, Nudity, Crafting, Colorful, RPG	88446	90.0481649820229	NA	16	37	NA	Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai	Ubisoft
Farm Mania: Hot Vacation	412930	Adventure, Casual, Simulation, Strategy	Strategy, Adventure, Casual, Simulation	56	92.8571428571429	NA	5	7	NA	Realore	Qumaron
FAST & FURIOUS CROSSROADS	678030	Action, Racing	Action, Racing, Action-Adventure, Combat Racing, Third Person, Driving, Multiplayer, Psychological Horror, Family Friendly, Singleplayer	151	45.6953642384106	NA	5	60	NA	Slightly Mad Studios	BANDAI NAMCO Entertainment Europe
Fault: Elder Orb	1106750	Action, Free to Play, Strategy, Early Access	Action, Strategy, Indie, MOBA, Early Access, Third Person, Multiplayer, Free to Play, Team-Based, PvP	4071	59.4694178334561	NA	NA	NA	NA	Strange Matter Studios	Strange Matter Studios
Fears of Glasses  o-o	1794740	Action, Adventure, Indie, Simulation	Action Roguelike, Exploration, Outbreak Sim, 3D Platformer, FPS, Mystery Dungeon, PvE, Action RPG, Walking Simulator, Rogue-like, Detective, 3D, 3D Vision, First-Person, Horror, Noir, Action, Psychological Horror, Controller, Simulation	14	78.5714285714286	NA	NA	NA	NA	Hede	Hede
Fear The Wolves	819500	Action, Adventure, Massively Multiplayer	Battle Royale, FPS, Survival, Multiplayer, Shooter, Action, Massively Multiplayer, Post-apocalyptic, Adventure, Open World, First-Person, Early Access, Singleplayer, Online Co-Op, PvP, Zombies, Co-op, Controller	3363	47.1305382099316	NA	Sin registro de tiempo	Sin registro de tiempo	NA	Vostok Games	Focus Entertainment
Fertile Heroine Seaworthy	1987140	RPG	NA	0	NA	NA	NA	NA	NA	GrayEye100	GrayEye100
Fieldrunners	209690	Strategy, Indie, Casual	Tower Defense, Strategy, Indie, Casual, Singleplayer, Touch-Friendly	287	64.1114982578397	NA	7	57	NA	Subatomic Studios LLC	Subatomic Studios LLC
FIFA 22	1506830	Simulation, Sports	Football (Soccer), Sports, Multiplayer, Competitive, Controller, Simulation, Local Multiplayer, Singleplayer, Online Co-Op, Local Co-Op, Realistic, PvP, e-sports, Family Friendly, Team-Based, Physics, Immersive Sim, Co-op, Cinematic, Sexual Content	111065	80.108044838608	NA	50	340	NA	EA Canada &amp; EA Romania	Electronic Arts
Fight'N Rage	674520	Action, Indie	Beat 'em up, Action, 2D, Local Multiplayer, Local Co-Op, Multiple Endings, Indie, Arcade, Great Soundtrack, Classic, Side Scroller, Retro, Female Protagonist, Pixel Graphics, Anime, Fighting, Difficult, Singleplayer, Choices Matter, Post-apocalyptic	2407	92.06481096801	NA	3	33	NA	sebagamesdev	sebagamesdev
Final DOOM	2290	Action	FPS, Action, Classic, Retro, Shooter, Singleplayer, 1990's, First-Person, Moddable, Sci-fi, Difficult, Gore, Great Soundtrack, Multiplayer, Old School, Demons, Zombies, Horror, Atmospheric, Pixel Graphics	1218	85.3858784893268	NA	13	16	NA	id Software	id Software
FINAL FANTASY VII	39140	RPG	JRPG, RPG, Classic, Turn-Based, Story Rich, Singleplayer, Great Soundtrack, Fantasy, Retro, Adventure, Party-Based RPG, Epic, Sci-fi, Open World, Cyberpunk, Atmospheric, Exploration, Dystopian , 1990's, Strategy	22732	93.0010557803977	NA	36	82	NA	Square Enix	Square Enix
FINAL FANTASY VIII	39150	RPG	JRPG, RPG, Classic, Singleplayer, Great Soundtrack, Turn-Based, Story Rich, Fantasy, Card Game, Sci-fi, Adventure, Open World, Retro, Nostalgia, Romance, Atmospheric, 1990's, Action, Epic, Controller	8271	88.6591705960585	NA	40	80	NA	Square Enix	Square Enix
Finding Kathy	1314830	Casual	Casual, Sexual Content, Nudity, Puzzle, Mature, Top-Down, Anime, Female Protagonist, Singleplayer, Action, Remake, Exploration, Arcade, Adventure, Simulation, Funny, Comedy, Sports, Co-op, Platformer	7	71.4285714285714	NA	NA	NA	NA	Red Bra	Hentai Room
Fire Commander: First Response	1675970		NA	0	NA	NA	NA	NA	NA		
Firescout	1522010	Action, Casual, Strategy	Action, Casual, Strategy, Fighting, Shooter, Survival, 3D Fighter, Arena Shooter, FPS, Shoot 'Em Up, 3D, First-Person, War, Military, Tactical, Combat, PvE, PvP, Team-Based, Singleplayer	6	66.6666666666667	NA	NA	NA	NA	FiveDead Interactive Inc.	FiveDead Interactive Inc.
Fishing Adventure	1101140	Indie, Simulation	Simulation, Fishing, Multiplayer, Singleplayer, Sports, First-Person, Realistic, Casual, Atmospheric, Adventure, Family Friendly	1277	85.9827721221613	NA	Sin registro de tiempo	Sin registro de tiempo	NA	MasterCode	Ultimate Games S.A.
FIST OF AWESOME	305070	Action, Adventure, Indie	Indie, Action, Adventure, Beat 'em up, Pixel Graphics, Great Soundtrack, 2D	344	60.7558139534884	NA	1	0	NA	I Fight Bears	I Fight Bears
Five Keys to Exit	790160	Casual, Indie	Casual, Indie	35	22.8571428571429	NA	0	3	NA	Victor Corradi	Corradi Games
Five Nights at Freddy's	319510	Indie, Simulation	Horror, Singleplayer, Survival Horror, Robots, Psychological Horror, Difficult, Indie, First-Person, Point & Click, Dark, Survival, Atmospheric, Mouse only, Supernatural, Resource Management, Silent Protagonist, Jump Scare, Lore-Rich, Short, Historical	35712	92.2463037634409	NA	2	5	NA	Scott Cawthon	Scott Cawthon
Five Nights at Freddy's 2	332800	Indie	Horror, Singleplayer, Survival Horror, Robots, Psychological Horror, Difficult, First-Person, Dark, Indie, Survival, Point & Click, Strategy, Atmospheric, Story Rich, Mystery, Fast-Paced, Resource Management, Jump Scare, Historical, Perma Death	16144	93.6323092170466	NA	3	17	NA	Scott Cawthon	Scott Cawthon
Five Nights at Freddy's: Sister Location	506610	Action, Indie, Simulation	Horror, Survival Horror, Singleplayer, Robots, First-Person, Dark, Difficult, Survival, Strategy, Indie, Story Rich, Mystery, Psychological Horror, Atmospheric, Simulation, Lore-Rich, Memes, Funny, Adventure, Gore	9533	91.2094828490507	NA	3	13	NA	Scott Cawthon	Scott Cawthon
Five Nights With Firearms	2131000	Action, Adventure, Indie, Strategy	Action, Shooter, FPS, Real Time Tactics, 3D, Colorful, First-Person, Emotional, Horror, Memes, Psychological Horror, Satire, Tactical, War, Linear, PvE, Story Rich, Singleplayer, Adventure, Indie	24	79.1666666666667	NA	NA	NA	NA	Xx_ObamaDestroyer69_xX	Xx_ObamaDestroyer69_xX
FLASHOUT 3D: Enhanced Edition	2022780		NA	0	NA	NA	0	3	NA		
Flat Heroes	508790	Action, Indie	2D, PvP, Team-Based, Precision Platformer, Multiplayer, Co-op Campaign, Arcade, Local Multiplayer, Party, 4 Player Local, Local Co-Op, Co-op, Family Friendly, Platformer, Colorful, Minimalist, Fast-Paced, Singleplayer, Action, Difficult	475	89.4736842105263	NA	5	12	NA	Parallel Circles	Parallel Circles
FlatOut	6220	Racing	Racing, Combat Racing, Automobile Sim, Destruction, Driving, Multiplayer, Classic, Arcade, Singleplayer, Great Soundtrack, Action, Funny, Vehicular Combat, Physics, Offroad, Difficult, Comedy	4083	92.4320352681852	NA	7	11	NA	Bugbear Entertainment	Strategy First
FlatOut 2	2990	Racing	Racing, Combat Racing, Automobile Sim, Destruction, Multiplayer, Vehicular Combat, Great Soundtrack, Classic, Action, Singleplayer, Music, Driving, Arcade, Physics, Simulation, Local Multiplayer, Atmospheric, Funny, Comedy, Casual	13550	95.9630996309963	NA	13	21	NA	Bugbear Entertainment	Strategy First
